iter	Passed	Remaining
566	1827	1395
567	1828	1390
568	1828	1385
569	1829	1380
570	1831	1375
571	1832	1371
572	1833	1366
573	1834	1361
574	1835	1356
575	1836	1351
576	1836	1346
577	1837	1341
578	1838	1336
579	1839	1331
580	1840	1327
581	1841	1322
582	1841	1317
583	1845	1314
584	1847	1310
585	1848	1305
586	1849	1300
587	1849	1296
588	1850	1291
589	1851	1286
590	1852	1282
591	1853	1277
592	1854	1272
593	1854	1267
594	1855	1263
595	1856	1258
596	1859	1255
597	1860	1250
598	1861	1246
599	1862	1241
600	1863	1236
601	1864	1232
602	1864	1227
603	1865	1223
604	1866	1218
605	1867	1214
606	1868	1209
607	1869	1205
608	1870	1200
609	1870	1196
610	1871	1191
611	1874	1188
612	1875	1184
613	1876	1179
614	1877	1175
615	1878	1170
616	1879	1166
617	1879	1161
618	1880	1157
619	1881	1153
620	1882	1148
621	1883	1144
622	1884	1140
623	1884	1135
624	1885	1131
625	1886	1127
626	1889	1123
627	1890	1119
628	1890	1115
629	1891	1111
630	1892	1106
631	1893	1102
632	1894	1098
633	1895	1094
634	1896	1090
635	1897	1086
636	1898	1081
637	1899	1077
638	1900	1073
639	1901	1069
640	1905	1066
641	1906	1063
642	1907	1059
643	1908	1054
644	1909	1050
645	1910	1046
646	1911	1042
647	1912	1038
648	1913	1034
649	1914	1030
650	1915	1026
651	1915	1022
652	1918	1019
653	1919	1015
654	1920	1011
655	1921	1007
656	1922	1003
657	1923	999
658	1924	995
659	1924	991
660	1925	987
661	1926	983
662	1927	979
663	1928	975
664	1928	971
665	1929	967
666	1930	963
667	1933	960
668	1934	957
669	1935	953
670	1936	949
671	1937	945
672	1938	941
673	1939	937
674	1939	934
675	1940	930
676	1941	926
677	1942	922
678	1943	918
679	1944	914
680	1945	911
681	1947	908
682	1949	904
683	1950	900
684	1950	897
685	1951	893
686	1952	889
687	1953	885
688	1954	882
689	1955	878
690	1955	874
691	1956	870
692	1957	867
693	1958	863
694	1959	859
695	1960	856
696	1963	853
697	1965	850
698	1965	846
699	1966	842
700	1967	839
701	1968	835
702	1969	831
703	1970	828
704	1970	824
705	1971	821
706	1972	817
707	1973	813
708	1974	810
709	1975	806
710	1978	804
711	1979	800
712	1980	797
713	1981	793
714	1982	790
715	1983	786
716	1984	783
717	1984	779
718	1985	776
719	1986	772
720	1987	769
721	1988	765
722	1989	762
723	1989	758
724	1993	756
725	1994	752
726	1995	749
727	1996	745
728	1996	742
729	1997	738
730	1998	735
731	2000	732
732	2001	728
733	2002	725
734	2002	722
735	2003	718
736	2004	715
737	2007	712
738	2008	709
739	2009	706
740	2010	702
741	2011	699
742	2012	696
743	2013	692
744	2013	689
745	2014	685
746	2015	682
747	2016	679
748	2017	675
749	2018	672
750	2019	669
751	2019	666
752	2023	663
753	2024	660
754	2024	657
755	2025	653
756	2026	650
757	2027	647
758	2028	644
759	2029	640
760	2030	637
761	2031	634
762	2032	631
763	2033	628
764	2033	624
765	2037	622
766	2038	619
767	2039	616
768	2040	612
769	2041	609
770	2041	606
771	2042	603
772	2043	600
773	2044	596
774	2045	593
775	2046	590
776	2047	587
777	2047	584
778	2048	581
779	2051	578
780	2052	575
781	2053	572
782	2054	569
783	2055	566
784	2056	563
785	2057	560
786	2057	556
787	2058	553
788	2059	550
789	2060	547
790	2061	544
791	2062	541
792	2062	538
793	2063	535
794	2066	532
795	2067	529
796	2068	526
797	2069	523
798	2070	520
799	2070	517
800	2071	514
801	2072	511
802	2073	508
803	2074	505
804	2075	502
805	2076	499
806	2076	496
807	2077	493
808	2078	490
809	2081	488
810	2082	485
811	2083	482
812	2084	479
813	2085	476
814	2085	473
815	2086	470
816	2087	467
817	2088	464
818	2089	461
819	2090	458
820	2091	455
821	2091	453
822	2092	450
823	2095	447
824	2097	444
825	2098	442
826	2099	439
827	2100	436
828	2101	433
829	2102	430
830	2103	427
831	2104	425
832	2105	422
833	2106	419
834	2107	416
835	2112	414
836	2113	411
837	2114	408
